TIMESTAMP        scratch3-RQ      scratch3-RD      scratch3-WR      
1714738520 0 0 0
1714738531 0 0 0
1714738541 0 0 0
1714738551 0 0 0
1714738561 0 0 0
1714738571 0 0 0
1714738581 0 0 0
1714738592 0 0 0
1714738602 0 0 0
1714738612 0 0 0
1714738622 0 0 0
1714738632 0 0 0
1714738643 0 0 0
1714738653 0 0 0
1714738664 0 0 0
1714738674 0 0 0
1714738684 0 0 0
1714738697 0 0 0
1714738707 0 0 0
1714738718 0 0 0
1714738728 0 0 0
1714738738 0 0 0
1714738749 0 0 0
1714738759 0 0 0
1714738769 0 0 0
1714738780 0 0 0
1714738790 0 0 0
1714738800 0 0 0
1714738811 0 0 0
1714738821 0 0 0
1714738831 0 0 0
1714738842 0 0 0
1714738852 0 0 0
1714738862 0 0 0
1714738873 0 0 0
1714738883 0 0 0
1714738893 0 0 0
1714738904 0 0 0
1714738914 0 0 0
1714738924 0 0 0
1714738935 0 0 0
1714738945 0 0 0
1714738955 0 0 0
1714738966 0 0 0
1714738976 0 0 0
1714738986 0 0 0
1714738996 0 0 0
1714739007 0 0 0
1714739017 0 0 0
1714739027 0 0 0
1714739038 0 0 0
1714739048 0 0 0
1714739064 0 0 0
1714739075 0 0 0
1714739086 0 0 0
1714739096 0 0 0
1714739114 0 0 0
1714739127 0 0 0
1714739137 0 0 0
1714739148 0 0 0
1714739158 0 0 0
1714739168 0 0 0
1714739179 0 0 0
1714739189 0 0 0
1714739199 0 0 0
1714739209 0 0 0
1714739220 0 0 0
1714739230 0 0 0
1714739240 0 0 0
1714739250 0 0 0
1714739261 0 0 0
1714739271 0 0 0
1714739281 0 0 0
1714739291 0 0 0
1714739302 0 0 0
1714739312 0 0 0
1714739322 0 0 0
1714739333 0 0 0
1714739343 0 0 0
1714739353 0 0 0
1714739363 0 0 0
1714739374 0 0 0
1714739384 0 0 0
1714739394 0 0 0
1714739404 0 0 0
1714739415 0 0 0
1714739425 0 0 0
1714739435 0 0 0
1714739445 0 0 0
1714739456 0 0 0
1714739466 0 0 0
1714739476 0 0 0
1714739487 0 0 0
1714739497 0 0 0
1714739507 0 0 0
1714739517 0 0 0
1714739528 0 0 0
1714739538 0 0 0
1714739548 0 0 0
1714739559 0 0 0
1714739569 0 0 0
1714739579 0 0 0
1714739589 0 0 0
1714739600 0 0 0
1714739610 0 0 0
1714739620 0 0 0
1714739631 0 0 0
1714739641 0 0 0
1714739651 0 0 0
1714739662 0 0 0
1714739672 0 0 0
1714739682 0 0 0
1714739692 0 0 0
1714739703 0 0 0
1714739713 0 0 0
1714739723 0 0 0
1714739734 0 0 0
1714739744 0 0 0
1714739754 0 0 0
1714739764 0 0 0
1714739775 0 0 0
1714739785 0 0 0
1714739795 0 0 0
1714739805 0 0 0
1714739816 0 0 0
1714739826 0 0 0
1714739836 0 0 0
1714739847 0 0 0
1714739857 0 0 0
1714739867 0 0 0
1714739877 0 0 0
1714739888 0 0 0
1714739898 0 0 0
1714739908 0 0 0
1714739919 0 0 0
1714739929 0 0 0
1714739939 0 0 0
1714739949 0 0 0
1714739960 0 0 0
1714739970 0 0 0
1714739980 0 0 0
1714739990 0 0 0
1714740001 0 0 0
1714740011 0 0 0
1714740021 0 0 0
1714740032 0 0 0
1714740042 0 0 0
1714740052 0 0 0
1714740062 0 0 0
1714740073 0 0 0
1714740083 0 0 0
1714740093 0 0 0
1714740103 0 0 0
1714740114 0 0 0
1714740124 0 0 0
1714740134 0 0 0
1714740145 0 0 0
1714740155 0 0 0
1714740165 0 0 0
1714740175 0 0 0
1714740186 0 0 0
1714740196 0 0 0
1714740206 0 0 0
1714740216 0 0 0
1714740227 0 0 0
1714740237 0 0 0
1714740247 0 0 0
1714740258 0 0 0
1714740268 0 0 0
1714740278 0 0 0
1714740288 0 0 0
1714740299 0 0 0
1714740309 0 0 0
1714740319 0 0 0
1714740330 0 0 0
1714740340 0 0 0
1714740350 0 0 0
1714740360 0 0 0
1714740371 0 0 0
1714740381 0 0 0
1714740391 0 0 0
1714740401 0 0 0
1714740412 0 0 0
1714740422 0 0 0
1714740432 0 0 0
1714740443 0 0 0
1714740453 0 0 0
1714740463 0 0 0
1714740473 0 0 0
1714740484 0 0 0
1714740494 0 0 0
1714740504 0 0 0
1714740514 0 0 0
1714740525 0 0 0
1714740535 0 0 0
1714740545 0 0 0
1714740556 0 0 0
1714740566 0 0 0
1714740576 0 0 0
1714740586 0 0 0
1714740597 0 0 0
1714740607 0 0 0
1714740617 0 0 0
1714740628 0 0 0
1714740638 0 0 0
1714740648 0 0 0
1714740658 0 0 0
1714740669 0 0 0
1714740679 0 0 0
1714740689 0 0 0
1714740699 0 0 0
1714740710 0 0 0
1714740720 0 0 0
1714740730 0 0 0
1714740741 0 0 0
1714740751 0 0 0
1714740761 0 0 0
1714740771 0 0 0
1714740782 0 0 0
1714740792 0 0 0
1714740802 0 0 0
1714740813 0 0 0
1714740826 0 0 0
1714740837 0 0 0
1714740847 0 0 0
1714740857 0 0 0
1714740867 0 0 0
1714740878 0 0 0
1714740888 0 0 0
1714740898 0 0 0
1714740909 0 0 0
1714740919 0 0 0
1714740929 0 0 0
1714740939 0 0 0
1714740950 0 0 0
1714740960 0 0 0
1714740970 0 0 0
1714740980 0 0 0
1714740991 0 0 0
1714741001 0 0 0
1714741011 0 0 0
1714741022 0 0 0
1714741032 0 0 0
1714741042 0 0 0
1714741052 0 0 0
1714741063 0 0 0
1714741073 0 0 0
1714741083 0 0 0
1714741094 0 0 0
1714741104 0 0 0
1714741114 0 0 0
1714741124 0 0 0
1714741135 0 0 0
1714741145 0 0 0
1714741155 0 0 0
1714741165 0 0 0
1714741176 0 0 0
1714741186 0 0 0
1714741196 0 0 0
1714741207 0 0 0
1714741217 0 0 0
1714741227 0 0 0
1714741237 0 0 0
1714741248 0 0 0
1714741258 0 0 0
1714741268 0 0 0
1714741278 0 0 0
1714741289 0 0 0
1714741299 0 0 0
1714741309 0 0 0
1714741320 0 0 0
1714741330 0 0 0
1714741340 0 0 0
1714741350 0 0 0
1714741361 0 0 0
1714741371 0 0 0
1714741381 0 0 0
1714741392 0 0 0
1714741402 0 0 0
1714741412 0 0 0
1714741422 0 0 0
1714741433 0 0 0
1714741443 0 0 0
1714741453 0 0 0
1714741463 0 0 0
1714741474 0 0 0
1714741484 0 0 0
1714741494 0 0 0
1714741505 0 0 0
1714741515 0 0 0
1714741525 0 0 0
1714741535 0 0 0
1714741546 0 0 0
1714741556 0 0 0
1714741566 0 0 0
1714741576 0 0 0
1714741587 0 0 0
1714741597 0 0 0
1714741607 0 0 0
1714741618 0 0 0
1714741628 0 0 0
1714741638 0 0 0
1714741648 0 0 0
1714741659 0 0 0
1714741669 0 0 0
1714741679 0 0 0
1714741689 0 0 0
1714741700 0 0 0
1714741710 0 0 0
1714741720 0 0 0
1714741731 0 0 0
1714741741 0 0 0
1714741751 0 0 0
1714741761 0 0 0
1714741772 0 0 0
1714741782 0 0 0
1714741792 0 0 0
1714741802 0 0 0
1714741813 0 0 0
1714741823 0 0 0
1714741833 0 0 0
1714741844 0 0 0
1714741854 0 0 0
1714741864 0 0 0
1714741874 0 0 0
1714741885 0 0 0
1714741895 0 0 0
1714741905 0 0 0
1714741916 0 0 0
1714741926 0 0 0
1714741936 0 0 0
1714741946 0 0 0
1714741957 0 0 0
1714741967 0 0 0
1714741977 0 0 0
1714741987 0 0 0
1714741998 0 0 0
1714742008 0 0 0
1714742018 0 0 0
1714742029 0 0 0
1714742039 0 0 0
1714742049 0 0 0
1714742059 0 0 0
1714742070 0 0 0
1714742080 0 0 0
1714742090 0 0 0
1714742101 0 0 0
1714742111 0 0 0
1714742121 0 0 0
1714742131 0 0 0
1714742142 0 0 0
1714742152 0 0 0
1714742162 0 0 0
